Card ID,ip_l1_1_x,ip_l1_1_y,ip_l1_2_x,ip_l1_2_y,ip_l2_1_x,ip_l2_1_y,ip_l2_2_x,ip_l2_2_y,ip_l3_1_x,ip_l3_1_y,ip_l3_2_x,ip_l3_2_y,op_l1_1_x,op_l1_1_y,op_l1_2_x,op_l1_2_y,op_l2_1_x,op_l2_1_y,op_l2_2_x,op_l2_2_y,op_l3_1_x,op_l3_1_y,op_l3_2_x,op_l3_2_y
card_018_1.webp,12.5,25,37.5,25,25,54,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_017_1.webp,12.5,25,37.5,25,,,,,,,,,75,25,,,75,54,,,75,83,,
card_016_1.webp,25,25,,,,,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_021_1.webp,25,25,,,25,54,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_020_1.webp,25,25,,,25,54,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_019_1.webp,25,25,,,25,54,,,,,,,62.5,25,87.5,25,62.5,54,87.5,54,62.5,83,87.5,83
card_025_1.webp,25,25,,,,,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_024_1.webp,25,25,,,25,54,,,,,,,75,25,,,75,54,,,62.5,83,87.5,83
card_027_1.webp,25,25,,,25,54,,,,,,,75,25,,,75,54,,,62.5,83,87.5,83
card_026_1.webp,25,25,,,25,54,,,,,,,75,25,,,75,54,,,62.5,83,87.5,83
card_022_1.webp,25,25,,,,,,,,,,,75,25,,,75,54,,,75,83,,
card_023_1.webp,25,25,,,25,54,,,,,,,75,25,,,75,54,,,75,83,,
card_015_1.webp,12.5,25,37.5,25,25,54,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_013_1.webp,25,25,,,25,54,,,25,83,,,75,25,,,75,54,,,75,83,,
card_014_1.webp,25,25,,,25,54,,,,,,,62.5,25,87.5,25,62.5,54,87.5,54,62.5,83,87.5,83
card_012_1.webp,12.5,25,37.5,25,25,54,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_010_1.webp,25,25,,,25,54,,,25,83,,,75,25,,,75,54,,,75,83,,
card_011_1.webp,25,25,,,,,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_007_1.webp,25,25,,,,,,,,,,,75,25,,,75,54,,,75,83,,
card_008_1.webp,25,25,,,,,,,,,,,75,25,,,75,54,,,75,83,,
card_009_1.webp,25,25,,,25,54,,,,,,,75,25,,,75,54,,,75,83,,
card_004_1.webp,25,25,,,25,54,,,,,,,75,25,,,75,54,,,75,83,,
card_005_1.webp,25,25,,,25,54,,,,,,,75,25,,,75,54,,,75,83,,
card_006_1.webp,25,25,,,25,54,,,,,,,75,25,,,75,54,,,75,83,,
card_003_1.webp,12.5,25,37.5,25,25,54,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_001_1.webp,25,25,,,25,54,,,25,83,,,75,25,,,75,54,,,75,83,,
card_002_1.webp,25,25,,,25,54,,,,,,,62.5,25,87.5,25,62.5,54,87.5,54,62.5,83,87.5,83
card_018_2.webp,12.5,25,37.5,25,25,54,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_017_2.webp,12.5,25,37.5,25,,,,,,,,,75,25,,,75,54,,,75,83,,
card_016_2.webp,25,25,,,,,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_021_2.webp,25,25,,,25,54,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_020_2.webp,25,25,,,25,54,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_019_2.webp,25,25,,,25,54,,,,,,,62.5,25,87.5,25,62.5,54,87.5,54,62.5,83,87.5,83
card_025_2.webp,25,25,,,,,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_024_2.webp,25,25,,,25,54,,,,,,,75,25,,,75,54,,,62.5,83,87.5,83
card_027_2.webp,25,25,,,25,54,,,,,,,75,25,,,75,54,,,62.5,83,87.5,83
card_026_2.webp,25,25,,,25,54,,,,,,,75,25,,,75,54,,,62.5,83,87.5,83
card_022_2.webp,25,25,,,,,,,,,,,75,25,,,75,54,,,75,83,,
card_023_2.webp,25,25,,,25,54,,,,,,,75,25,,,75,54,,,75,83,,
card_015_2.webp,12.5,25,37.5,25,25,54,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_013_2.webp,25,25,,,25,54,,,25,83,,,75,25,,,75,54,,,75,83,,
card_014_2.webp,25,25,,,25,54,,,,,,,62.5,25,87.5,25,62.5,54,87.5,54,62.5,83,87.5,83
card_012_2.webp,12.5,25,37.5,25,25,54,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_010_2.webp,25,25,,,25,54,,,25,83,,,75,25,,,75,54,,,75,83,,
card_011_2.webp,25,25,,,,,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_007_2.webp,25,25,,,,,,,,,,,75,25,,,75,54,,,75,83,,
card_008_2.webp,25,25,,,,,,,,,,,75,25,,,75,54,,,75,83,,
card_009_2.webp,25,25,,,25,54,,,,,,,75,25,,,75,54,,,75,83,,
card_004_2.webp,25,25,,,25,54,,,,,,,75,25,,,75,54,,,75,83,,
card_005_2.webp,25,25,,,25,54,,,,,,,75,25,,,75,54,,,75,83,,
card_006_2.webp,25,25,,,25,54,,,,,,,75,25,,,75,54,,,75,83,,
card_003_2.webp,12.5,25,37.5,25,25,54,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_001_2.webp,25,25,,,25,54,,,25,83,,,75,25,,,75,54,,,75,83,,
card_002_2.webp,25,25,,,25,54,,,,,,,62.5,25,87.5,25,62.5,54,87.5,54,62.5,83,87.5,83
card_018_3.webp,12.5,25,37.5,25,25,54,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_017_3.webp,12.5,25,37.5,25,,,,,,,,,75,25,,,75,54,,,75,83,,
card_016_3.webp,25,25,,,,,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_021_3.webp,25,25,,,25,54,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_020_3.webp,25,25,,,25,54,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_019_3.webp,25,25,,,25,54,,,,,,,62.5,25,87.5,25,62.5,54,87.5,54,62.5,83,87.5,83
card_025_3.webp,25,25,,,,,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_024_3.webp,25,25,,,25,54,,,,,,,75,25,,,75,54,,,62.5,83,87.5,83
card_027_3.webp,25,25,,,25,54,,,,,,,75,25,,,75,54,,,62.5,83,87.5,83
card_026_3.webp,25,25,,,25,54,,,,,,,75,25,,,75,54,,,62.5,83,87.5,83
card_022_3.webp,25,25,,,,,,,,,,,75,25,,,75,54,,,75,83,,
card_023_3.webp,25,25,,,25,54,,,,,,,75,25,,,75,54,,,75,83,,
card_015_3.webp,12.5,25,37.5,25,25,54,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_013_3.webp,25,25,,,25,54,,,25,83,,,75,25,,,75,54,,,75,83,,
card_014_3.webp,25,25,,,25,54,,,,,,,62.5,25,87.5,25,62.5,54,87.5,54,62.5,83,87.5,83
card_012_3.webp,12.5,25,37.5,25,25,54,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_010_3.webp,25,25,,,25,54,,,25,83,,,75,25,,,75,54,,,75,83,,
card_011_3.webp,25,25,,,,,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_007_3.webp,25,25,,,,,,,,,,,75,25,,,75,54,,,75,83,,
card_008_3.webp,25,25,,,,,,,,,,,75,25,,,75,54,,,75,83,,
card_009_3.webp,25,25,,,25,54,,,,,,,75,25,,,75,54,,,75,83,,
card_004_3.webp,25,25,,,25,54,,,,,,,75,25,,,75,54,,,75,83,,
card_005_3.webp,25,25,,,25,54,,,,,,,75,25,,,75,54,,,75,83,,
card_006_3.webp,25,25,,,25,54,,,,,,,75,25,,,75,54,,,75,83,,
card_003_3.webp,12.5,25,37.5,25,25,54,,,,,,,62.5,25,87.5,25,75,54,,,75,83,,
card_001_3.webp,25,25,,,25,54,,,25,83,,,75,25,,,75,54,,,75,83,,
card_002_3.webp,25,25,,,25,54,,,,,,,62.5,25,87.5,25,62.5,54,87.5,54,62.5,83,87.5,83
