Card_Filename,Income_0,Income_1,Income_2,Income_3,VP_ 0,VP_ 1,VP_ 2,VP_ 3
card_018_1.webp,4,5,6,7,0,1,2,3
card_017_1.webp,4,5,6,7,0,1,2,3
card_016_1.webp,4,5,6,7,0,1,2,3
card_021_1.webp,1,2,3,4,0,1,2,3
card_020_1.webp,1,2,3,4,0,1,2,3
card_019_1.webp,3,4,5,6,0,1,2,3
card_025_1.webp,3,4,5,6,0,1,2,3
card_024_1.webp,3,4,5,6,0,1,2,3
card_027_1.webp,3,4,5,6,0,1,2,3
card_026_1.webp,3,4,5,6,0,1,2,3
card_022_1.webp,1,2,3,4,0,1,2,3
card_023_1.webp,2,3,4,5,0,1,2,3
card_015_1.webp,4,5,6,7,0,1,2,3
card_013_1.webp,4,5,6,7,0,1,2,3
card_014_1.webp,2,3,4,5,0,1,2,3
card_012_1.webp,4,5,6,7,0,1,2,3
card_010_1.webp,4,5,6,7,0,1,2,3
card_011_1.webp,4,5,6,7,0,1,2,3
card_007_1.webp,0,1,2,3,0,1,2,3
card_008_1.webp,0,1,2,3,0,1,2,3
card_009_1.webp,3,4,5,6,0,1,2,3
card_004_1.webp,2,3,4,5,0,1,2,3
card_005_1.webp,2,3,4,5,0,1,2,3
card_006_1.webp,2,3,4,5,0,1,2,3
card_003_1.webp,3,4,5,6,0,1,2,3
card_001_1.webp,3,4,5,6,0,1,2,3
card_002_1.webp,3,4,5,6,0,1,2,3
card_018_2.webp,4,5,6,7,0,1,2,3
card_017_2.webp,4,5,6,7,0,1,2,3
card_016_2.webp,4,5,6,7,0,1,2,3
card_021_2.webp,1,2,3,4,0,1,2,3
card_020_2.webp,1,2,3,4,0,1,2,3
card_019_2.webp,3,4,5,6,0,1,2,3
card_025_2.webp,3,4,5,6,0,1,2,3
card_024_2.webp,3,4,5,6,0,1,2,3
card_027_2.webp,3,4,5,6,0,1,2,3
card_026_2.webp,3,4,5,6,0,1,2,3
card_022_2.webp,1,2,3,4,0,1,2,3
card_023_2.webp,2,3,4,5,0,1,2,3
card_015_2.webp,4,5,6,7,0,1,2,3
card_013_2.webp,4,5,6,7,0,1,2,3
card_014_2.webp,2,3,4,5,0,1,2,3
card_012_2.webp,4,5,6,7,0,1,2,3
card_010_2.webp,4,5,6,7,0,1,2,3
card_011_2.webp,4,5,6,7,0,1,2,3
card_007_2.webp,0,1,2,3,0,1,2,3
card_008_2.webp,0,1,2,3,0,1,2,3
card_009_2.webp,3,4,5,6,0,1,2,3
card_004_2.webp,2,3,4,5,0,1,2,3
card_005_2.webp,2,3,4,5,0,1,2,3
card_006_2.webp,2,3,4,5,0,1,2,3
card_003_2.webp,3,4,5,6,0,1,2,3
card_001_2.webp,3,4,5,6,0,1,2,3
card_002_2.webp,3,4,5,6,0,1,2,3
card_018_3.webp,4,5,6,7,0,1,2,3
card_017_3.webp,4,5,6,7,0,1,2,3
card_016_3.webp,4,5,6,7,0,1,2,3
card_021_3.webp,1,2,3,4,0,1,2,3
card_020_3.webp,1,2,3,4,0,1,2,3
card_019_3.webp,3,4,5,6,0,1,2,3
card_025_3.webp,3,4,5,6,0,1,2,3
card_024_3.webp,3,4,5,6,0,1,2,3
card_027_3.webp,3,4,5,6,0,1,2,3
card_026_3.webp,3,4,5,6,0,1,2,3
card_022_3.webp,1,2,3,4,0,1,2,3
card_023_3.webp,2,3,4,5,0,1,2,3
card_015_3.webp,4,5,6,7,0,1,2,3
card_013_3.webp,4,5,6,7,0,1,2,3
card_014_3.webp,2,3,4,5,0,1,2,3
card_012_3.webp,4,5,6,7,0,1,2,3
card_010_3.webp,4,5,6,7,0,1,2,3
card_011_3.webp,4,5,6,7,0,1,2,3
card_007_3.webp,0,1,2,3,0,1,2,3
card_008_3.webp,0,1,2,3,0,1,2,3
card_009_3.webp,3,4,5,6,0,1,2,3
card_004_3.webp,2,3,4,5,0,1,2,3
card_005_3.webp,2,3,4,5,0,1,2,3
card_006_3.webp,2,3,4,5,0,1,2,3
card_003_3.webp,3,4,5,6,0,1,2,3
card_001_3.webp,3,4,5,6,0,1,2,3
card_002_3.webp,3,4,5,6,0,1,2,3
