Card_Filename,Level1_Input,Level2_Input,Level3_Input,Level1_Output,Level2_Output,Level3_Output
card_018_1.webp,Algae+Grain,Crate,,Human+Human,Human,Human
card_017_1.webp,Algae+Crate,,,Grain,Grain,Grain
card_016_1.webp,Robot,,,Water+Water,Water,Water
card_021_1.webp,Grain,Crate,,Human+Human,Human,Human
card_020_1.webp,Robot,Algae,,Grain+Grain,Grain,Grain
card_019_1.webp,Human,Human,,Algae+Water,Algae+Water,Algae+Water
card_025_1.webp,Ore,,,Electronics X2,Electronics,Electronics
card_024_1.webp,Ore,Electronics,,Robot,Robot,Robot+Robot
card_027_1.webp,Ore,Electronics,,Crate,Crate,Crate+Crate
card_026_1.webp,Robot,Electronics,,Crate,Crate,Crate+Crate
card_022_1.webp,Robot,,,Water,Water,Water
card_023_1.webp,Robot,Water,,Ore,Ore,Ore
card_015_1.webp,Electronics+Grain,Crate,,Human+Human,Human,Human
card_013_1.webp,Robot,Electronics,Algae,Grain,Grain,Grain
card_014_1.webp,Human,Human,,Algae+Water,Algae+Water,Algae+Water
card_012_1.webp,Ore+Grain,Crate,,Human+Human,Human,Human
card_010_1.webp,Robot,Ore,Algae,Grain,Grain,Grain
card_011_1.webp,Human,,,Water+Water,Water,Water
card_007_1.webp,Human,,,Algae,Algae,Algae
card_008_1.webp,Human,,,Water,Water,Water
card_009_1.webp,Algae,Water,,Grain,Grain,Grain
card_004_1.webp,Human,Water,,Ore,Ore,Ore
card_005_1.webp,Human,Water,,Electronics,Electronics,Electronics
card_006_1.webp,Human,Water,,Robot,Robot,Robot
card_003_1.webp,Electronics+Grain,Crate,,Human+Human,Human,Human
card_001_1.webp,Robot,Electronics,Algae,Grain,Grain,Grain
card_002_1.webp,Human,Electronics,,Algae+Algae,Algae+Algae,Algae+Algae
card_018_2.webp,Algae+Grain,Crate,,Human+Human,Human,Human
card_017_2.webp,Algae+Crate,,,Grain,Grain,Grain
card_016_2.webp,Robot,,,Water+Water,Water,Water
card_021_2.webp,Grain,Crate,,Human+Human,Human,Human
card_020_2.webp,Robot,Algae,,Grain+Grain,Grain,Grain
card_019_2.webp,Human,Human,,Algae+Water,Algae+Water,Algae+Water
card_025_2.webp,Ore,,,Electronics X2,Electronics,Electronics
card_024_2.webp,Ore,Electronics,,Robot,Robot,Robot+Robot
card_027_2.webp,Ore,Electronics,,Crate,Crate,Crate+Crate
card_026_2.webp,Robot,Electronics,,Crate,Crate,Crate+Crate
card_022_2.webp,Robot,,,Water,Water,Water
card_023_2.webp,Robot,Water,,Ore,Ore,Ore
card_015_2.webp,Electronics+Grain,Crate,,Human+Human,Human,Human
card_013_2.webp,Robot,Electronics,Algae,Grain,Grain,Grain
card_014_2.webp,Human,Human,,Algae+Water,Algae+Water,Algae+Water
card_012_2.webp,Ore+Grain,Crate,,Human+Human,Human,Human
card_010_2.webp,Robot,Ore,Algae,Grain,Grain,Grain
card_011_2.webp,Human,,,Water+Water,Water,Water
card_007_2.webp,Human,,,Algae,Algae,Algae
card_008_2.webp,Human,,,Water,Water,Water
card_009_2.webp,Algae,Water,,Grain,Grain,Grain
card_004_2.webp,Human,Water,,Ore,Ore,Ore
card_005_2.webp,Human,Water,,Electronics,Electronics,Electronics
card_006_2.webp,Human,Water,,Robot,Robot,Robot
card_003_2.webp,Electronics+Grain,Crate,,Human+Human,Human,Human
card_001_2.webp,Robot,Electronics,Algae,Grain,Grain,Grain
card_002_2.webp,Human,Electronics,,Algae+Algae,Algae+Algae,Algae+Algae
card_018_3.webp,Algae+Grain,Crate,,Human+Human,Human,Human
card_017_3.webp,Algae+Crate,,,Grain,Grain,Grain
card_016_3.webp,Robot,,,Water+Water,Water,Water
card_021_3.webp,Grain,Crate,,Human+Human,Human,Human
card_020_3.webp,Robot,Algae,,Grain+Grain,Grain,Grain
card_019_3.webp,Human,Human,,Algae+Water,Algae+Water,Algae+Water
card_025_3.webp,Ore,,,Electronics X2,Electronics,Electronics
card_024_3.webp,Ore,Electronics,,Robot,Robot,Robot+Robot
card_027_3.webp,Ore,Electronics,,Crate,Crate,Crate+Crate
card_026_3.webp,Robot,Electronics,,Crate,Crate,Crate+Crate
card_022_3.webp,Robot,,,Water,Water,Water
card_023_3.webp,Robot,Water,,Ore,Ore,Ore
card_015_3.webp,Electronics+Grain,Crate,,Human+Human,Human,Human
card_013_3.webp,Robot,Electronics,Algae,Grain,Grain,Grain
card_014_3.webp,Human,Human,,Algae+Water,Algae+Water,Algae+Water
card_012_3.webp,Ore+Grain,Crate,,Human+Human,Human,Human
card_010_3.webp,Robot,Ore,Algae,Grain,Grain,Grain
card_011_3.webp,Human,,,Water+Water,Water,Water
card_007_3.webp,Human,,,Algae,Algae,Algae
card_008_3.webp,Human,,,Water,Water,Water
card_009_3.webp,Algae,Water,,Grain,Grain,Grain
card_004_3.webp,Human,Water,,Ore,Ore,Ore
card_005_3.webp,Human,Water,,Electronics,Electronics,Electronics
card_006_3.webp,Human,Water,,Robot,Robot,Robot
card_003_3.webp,Electronics+Grain,Crate,,Human+Human,Human,Human
card_001_3.webp,Robot,Electronics,Algae,Grain,Grain,Grain
card_002_3.webp,Human,Electronics,,Algae+Algae,Algae+Algae,Algae+Algae
