Card_Filename,Type
card_018_1.webp,Cold
card_017_1.webp,Cold
card_016_1.webp,Cold
card_021_1.webp,Earth
card_020_1.webp,Earth
card_019_1.webp,Earth
card_025_1.webp,Forge
card_024_1.webp,Forge
card_027_1.webp,Forge
card_026_1.webp,Forge
card_022_1.webp,Ice
card_023_1.webp,Ice
card_015_1.webp,Jungle
card_013_1.webp,Jungle
card_014_1.webp,Jungle
card_012_1.webp,Ocean
card_010_1.webp,Ocean
card_011_1.webp,Ocean
card_007_1.webp,Proto
card_008_1.webp,Proto
card_009_1.webp,Proto
card_004_1.webp,Scrap
card_005_1.webp,Scrap
card_006_1.webp,Scrap
card_003_1.webp,Swamp
card_001_1.webp,Swamp
card_002_1.webp,Swamp
card_018_2.webp,Cold
card_017_2.webp,Cold
card_016_2.webp,Cold
card_021_2.webp,Earth
card_020_2.webp,Earth
card_019_2.webp,Earth
card_025_2.webp,Forge
card_024_2.webp,Forge
card_027_2.webp,Forge
card_026_2.webp,Forge
card_022_2.webp,Ice
card_023_2.webp,Ice
card_015_2.webp,Jungle
card_013_2.webp,Jungle
card_014_2.webp,Jungle
card_012_2.webp,Ocean
card_010_2.webp,Ocean
card_011_2.webp,Ocean
card_007_2.webp,Proto
card_008_2.webp,Proto
card_009_2.webp,Proto
card_004_2.webp,Scrap
card_005_2.webp,Scrap
card_006_2.webp,Scrap
card_003_2.webp,Swamp
card_001_2.webp,Swamp
card_002_2.webp,Swamp
card_018_3.webp,Cold
card_017_3.webp,Cold
card_016_3.webp,Cold
card_021_3.webp,Earth
card_020_3.webp,Earth
card_019_3.webp,Earth
card_025_3.webp,Forge
card_024_3.webp,Forge
card_027_3.webp,Forge
card_026_3.webp,Forge
card_022_3.webp,Ice
card_023_3.webp,Ice
card_015_3.webp,Jungle
card_013_3.webp,Jungle
card_014_3.webp,Jungle
card_012_3.webp,Ocean
card_010_3.webp,Ocean
card_011_3.webp,Ocean
card_007_3.webp,Proto
card_008_3.webp,Proto
card_009_3.webp,Proto
card_004_3.webp,Scrap
card_005_3.webp,Scrap
card_006_3.webp,Scrap
card_003_3.webp,Swamp
card_001_3.webp,Swamp
card_002_3.webp,Swamp
